tx_date,tx_time,tx_open,tx_high,tx_low,tx_close,tx_volume,predict
2021-09-01,02:00:00,823.5,823.5,823.5,823.5,2,-1
2021-09-01,03:00:00,823.3,823.75,823.3,824.1,5,0
2021-09-01,04:00:00,823.3,823.55,823.3,823.55,2,-1
2021-09-01,08:00:00,825.1,824.0,822.75,825.35,88,0
2021-09-01,09:00:00,823.65,827.5,823.2,828.7,458,0
2021-09-01,10:00:00,827.5,829.7,827.5,830.25,414,0
2021-09-01,11:00:00,829.95,830.0,828.8,830.9,240,0
2021-09-01,12:00:00,830.1,831.9,829.45,833.5,286,0
2021-09-01,13:00:00,832.25,833.55,831.3,834.15,301,0
2021-09-01,15:00:00,833.5,833.7,833.4,834.1,14,0
2021-09-01,16:00:00,833.4,832.5,832.5,833.8,21,0
2021-09-01,17:00:00,832.0,832.1,831.8,832.1,16,-1
2021-09-01,18:00:00,831.85,833.05,831.75,833.4,15,0
2021-09-01,19:00:00,832.95,833.6,832.95,833.6,4,0
2021-09-01,20:00:00,833.9,833.95,833.45,833.95,11,0
2021-09-01,21:00:00,833.85,833.0,832.95,834.05,29,0
2021-09-01,22:00:00,833.1,835.1,833.1,835.1,49,0
2021-09-01,23:00:00,835.35,835.15,834.75,835.8,23,0
2021-09-02,00:00:00,835.8,836.75,835.8,836.85,18,0
2021-09-02,01:00:00,836.6,836.55,836.45,836.7,18,0
2021-09-02,02:00:00,836.65,835.95,835.85,836.65,8,0
2021-09-02,03:00:00,836.5,835.4,834.35,836.5,69,0
2021-09-02,04:00:00,835.25,834.65,834.65,835.45,8,-1
2021-09-02,08:00:00,832.45,832.9,832.15,833.8,85,-1
2021-09-02,09:00:00,832.65,835.35,831.75,837.35,497,0
2021-09-02,10:00:00,835.25,828.5,828.3,836.5,352,0
2021-09-02,11:00:00,828.35,829.1,825.75,830.9,283,-1
2021-09-02,12:00:00,829.0,826.95,825.9,829.8,164,-1
2021-09-02,13:00:00,827.15,826.75,824.8,827.5,393,-1
2021-09-02,15:00:00,828.5,830.75,828.2,830.75,35,0
2021-09-02,16:00:00,831.15,830.95,830.1,831.35,57,0
2021-09-02,17:00:00,831.0,830.6,830.55,831.0,15,0
2021-09-02,18:00:00,830.5,830.45,830.45,830.5,5,-1
2021-09-02,19:00:00,830.7,830.45,830.3,830.7,12,0
2021-09-02,20:00:00,830.45,831.8,830.45,832.15,28,0
2021-09-02,21:00:00,831.95,830.7,830.7,832.75,38,0
2021-09-02,22:00:00,830.7,832.1,830.3,832.3,20,-1
2021-09-02,23:00:00,832.1,831.7,831.7,832.4,23,0
2021-09-03,00:00:00,832.0,831.0,831.0,832.2,17,0
2021-09-03,01:00:00,831.45,830.05,829.65,831.45,31,-1
2021-09-03,02:00:00,830.05,830.75,829.65,830.75,11,-1
2021-09-03,03:00:00,830.5,831.1,830.35,831.1,8,0
2021-09-03,04:00:00,831.0,831.0,831.0,831.45,17,0
2021-09-03,08:00:00,829.75,832.25,829.75,833.0,50,0
2021-09-03,09:00:00,832.15,832.6,829.3,832.9,292,0
2021-09-03,10:00:00,832.5,837.7,832.3,838.65,636,0
2021-09-03,11:00:00,838.0,836.75,835.0,838.0,231,0
2021-09-03,12:00:00,836.8,837.95,836.25,838.95,262,0
2021-09-03,13:00:00,838.1,837.55,837.0,838.9,254,0
2021-09-03,15:00:00,836.0,835.75,834.25,836.05,90,-1
2021-09-03,16:00:00,835.65,836.5,835.65,836.65,12,-1
2021-09-03,17:00:00,836.4,836.55,835.9,836.65,13,0
2021-09-03,18:00:00,836.5,837.7,836.5,837.75,27,0
2021-09-03,19:00:00,837.75,837.35,837.35,838.2,18,0
2021-09-03,20:00:00,837.45,837.0,836.15,838.65,38,0
2021-09-03,21:00:00,836.75,837.4,835.0,837.65,90,-1
2021-09-03,22:00:00,837.95,838.0,837.45,838.3,24,0
2021-09-03,23:00:00,838.0,838.65,837.8,838.95,22,0
2021-09-04,00:00:00,838.2,838.15,838.1,838.6,11,0
2021-09-04,01:00:00,838.65,838.85,838.65,839.2,15,0
2021-09-04,02:00:00,838.6,838.35,838.25,838.7,10,0
2021-09-04,03:00:00,838.35,838.6,838.3,839.1,13,0
2021-09-04,04:00:00,838.3,837.2,837.1,838.3,23,-1
2021-09-06,08:00:00,836.3,839.4,835.6,839.4,127,0
2021-09-06,09:00:00,839.3,839.8,836.75,841.9,572,0
2021-09-06,10:00:00,839.7,841.05,839.7,844.35,345,0
2021-09-06,11:00:00,841.3,845.3,841.15,846.35,286,0
2021-09-06,12:00:00,845.3,840.3,838.35,847.35,365,0
2021-09-06,13:00:00,840.0,842.7,838.5,842.7,332,-1
2021-09-06,15:00:00,843.25,844.15,843.2,844.55,31,0
2021-09-06,16:00:00,844.05,845.1,844.05,845.15,18,0
2021-09-06,17:00:00,845.25,845.25,845.25,845.45,17,0
2021-09-06,18:00:00,845.35,845.3,845.3,845.55,12,0
2021-09-06,19:00:00,845.05,844.35,844.35,845.35,30,0
2021-09-06,20:00:00,844.35,843.8,843.8,844.5,39,-1
2021-09-06,21:00:00,843.7,845.15,843.7,845.15,4,0
2021-09-06,22:00:00,845.35,845.45,845.35,845.9,28,0
2021-09-06,23:00:00,845.0,844.85,844.85,845.0,2,-1
2021-09-07,00:00:00,844.55,844.8,844.5,844.8,5,-1
2021-09-07,03:00:00,844.3,844.0,842.0,844.3,31,0
2021-09-07,04:00:00,842.6,842.6,842.6,842.6,2,-1
2021-09-07,08:00:00,842.65,841.9,841.65,843.5,81,0
2021-09-07,09:00:00,841.65,829.45,828.55,843.05,899,0
2021-09-07,10:00:00,829.4,834.4,829.0,835.9,315,-1
2021-09-07,11:00:00,834.5,830.8,830.1,834.75,133,-1
2021-09-07,12:00:00,831.05,831.55,830.1,832.7,177,-1
2021-09-07,13:00:00,831.7,833.85,831.3,835.45,373,0
2021-09-07,15:00:00,833.85,832.55,830.8,833.85,97,0
2021-09-07,16:00:00,832.5,831.45,831.05,832.55,26,-1
2021-09-07,17:00:00,831.35,830.3,830.0,831.35,34,-1
2021-09-07,18:00:00,830.4,830.75,830.4,830.75,7,-1
2021-09-07,19:00:00,831.0,832.0,831.0,832.0,25,0
2021-09-07,20:00:00,831.5,831.1,831.1,831.75,8,0
2021-09-07,21:00:00,831.0,831.45,830.9,831.95,19,0
2021-09-07,22:00:00,831.6,832.15,829.1,832.55,68,0
2021-09-07,23:00:00,832.3,831.9,830.7,832.3,15,0
2021-09-08,00:00:00,831.95,831.9,831.5,831.95,5,-1
2021-09-08,01:00:00,832.5,834.0,832.5,834.0,26,0
2021-09-08,02:00:00,833.6,833.6,833.6,833.6,1,0
2021-09-08,03:00:00,833.5,833.6,833.5,833.95,3,0
2021-09-08,04:00:00,833.45,833.3,833.0,833.45,5,0
2021-09-08,05:00:00,832.8,832.8,832.8,832.8,2,-1
2021-09-08,08:00:00,830.6,832.5,830.6,833.25,128,0
2021-09-08,09:00:00,832.5,829.3,824.5,833.0,589,0
2021-09-08,10:00:00,830.0,826.05,824.05,830.4,279,-1
2021-09-08,11:00:00,826.05,820.3,818.5,826.3,388,-1
2021-09-08,12:00:00,820.5,818.9,818.0,822.2,181,-1
2021-09-08,13:00:00,818.6,823.25,817.5,823.65,317,0
2021-09-08,15:00:00,822.35,817.1,816.0,824.0,137,0
2021-09-08,16:00:00,816.95,815.9,814.75,817.4,25,-1
2021-09-08,17:00:00,816.05,820.3,816.05,820.3,75,0
2021-09-08,18:00:00,820.3,822.15,820.3,822.15,34,0
2021-09-08,19:00:00,821.7,822.7,821.45,824.55,61,0
2021-09-08,20:00:00,822.05,822.75,821.25,822.75,20,0
2021-09-08,21:00:00,823.0,821.25,820.4,823.45,54,0
2021-09-08,22:00:00,821.15,816.1,815.9,821.15,57,-1
2021-09-08,23:00:00,817.0,816.1,816.0,818.5,34,-1
2021-09-09,00:00:00,816.95,818.65,816.95,819.5,16,0
2021-09-09,01:00:00,818.55,817.35,817.35,818.55,2,0
2021-09-09,02:00:00,817.75,817.65,817.5,817.9,5,0
2021-09-09,03:00:00,818.5,817.7,817.7,818.5,4,0
2021-09-09,04:00:00,817.7,817.15,817.15,818.0,3,-1
2021-09-09,05:00:00,816.95,816.95,816.95,816.95,1,-1
2021-09-09,08:00:00,815.0,815.0,814.35,817.9,97,0
2021-09-09,09:00:00,814.95,820.25,813.35,821.45,593,0
2021-09-09,10:00:00,820.25,823.0,819.6,826.0,341,0
2021-09-09,11:00:00,822.75,822.75,821.0,824.5,160,0
2021-09-09,12:00:00,822.5,820.35,818.9,822.6,175,-1
2021-09-09,13:00:00,820.25,822.1,819.85,823.5,272,0
2021-09-09,15:00:00,823.0,823.2,823.0,824.2,49,0
2022-02-23,15:00:00,858.0,858.25,857.35,858.3,9,0
2022-02-23,16:00:00,858.3,859.6,857.7,859.7,24,0
2022-02-23,17:00:00,859.5,860.05,859.5,860.8,32,0
2022-02-23,18:00:00,859.6,859.2,858.7,859.6,24,0
2022-02-23,19:00:00,859.1,857.3,857.3,859.45,27,0
2022-02-23,20:00:00,857.55,859.3,857.5,859.4,21,0
2022-02-23,21:00:00,859.15,859.3,858.35,859.65,18,0
2022-02-23,22:00:00,859.15,858.0,857.9,860.6,67,0
2022-02-23,23:00:00,857.9,856.1,854.65,857.9,99,-1
2022-02-24,00:00:00,856.3,856.85,853.6,856.85,33,-1
2022-02-24,15:00:00,827.55,824.05,821.0,830.15,104,-1
2022-02-24,16:00:00,823.7,823.7,822.5,825.0,31,-1
2021-09-09,04:00:00,817.7,817.15,817.15,818.0,3,-1
2021-09-09,05:00:00,816.95,816.95,816.95,816.95,1,-1
2021-09-09,08:00:00,815.0,815.0,814.35,817.9,97,0
2021-09-09,09:00:00,814.95,820.25,813.35,821.45,593,0
2021-09-09,10:00:00,820.25,823.0,819.6,826.0,341,0
2021-09-09,11:00:00,822.75,822.75,821.0,824.5,160,0
2021-09-09,12:00:00,822.5,820.35,818.9,822.6,175,0
2021-09-09,13:00:00,820.25,822.1,819.85,823.5,272,0
2021-09-09,15:00:00,823.0,823.2,823.0,824.2,49,0
2022-02-23,15:00:00,858.0,858.25,857.35,858.3,9,0
2022-02-23,16:00:00,858.3,859.6,857.7,859.7,24,0
2022-02-23,17:00:00,859.5,860.05,859.5,860.8,32,0
2022-02-23,18:00:00,859.6,859.2,858.7,859.6,24,0
2022-02-23,19:00:00,859.1,857.3,857.3,859.45,27,0
2022-02-23,20:00:00,857.55,859.3,857.5,859.4,21,0
2022-02-23,21:00:00,859.15,859.3,858.35,859.65,18,0
2022-02-23,22:00:00,859.15,858.0,857.9,860.6,67,0
2022-02-23,23:00:00,857.9,856.1,854.65,857.9,99,-1
2022-02-24,00:00:00,856.3,856.85,853.6,856.85,33,-1
2022-02-24,15:00:00,827.55,824.05,821.0,830.15,104,-1
2022-02-24,16:00:00,823.7,823.7,822.5,825.0,31,-1
2021-08-27,09:00:00,805.4,811.2,803.75,811.85,372,0
2021-08-27,10:00:00,810.45,812.25,810.35,814.95,549,0
2021-08-27,11:00:00,812.55,810.9,809.55,813.0,126,0
2021-08-27,12:00:00,810.95,811.0,809.15,811.8,162,0
2021-08-27,13:00:00,811.0,811.15,810.2,813.3,251,0
2021-08-27,15:00:00,812.5,814.65,812.5,814.7,43,0
2021-08-27,16:00:00,814.3,814.15,813.7,814.3,22,0
2021-08-27,17:00:00,814.05,814.0,813.9,814.5,37,0
2021-08-27,18:00:00,814.2,814.35,814.1,814.4,5,0
2021-08-27,19:00:00,814.05,813.0,812.75,814.1,74,0
2021-08-27,20:00:00,813.25,813.7,813.25,814.75,11,0
2021-08-27,21:00:00,814.45,813.85,812.4,814.45,36,0
2021-08-27,22:00:00,813.5,816.75,813.5,818.6,82,0
2021-08-27,23:00:00,817.9,816.9,816.9,817.9,24,0
2021-08-28,00:00:00,816.75,816.65,816.1,816.75,14,-1
2021-08-28,01:00:00,816.7,817.5,816.7,818.0,10,0
2021-08-28,02:00:00,816.8,816.6,816.45,816.8,5,0
2021-08-28,03:00:00,817.15,817.15,817.15,817.15,1,0
2021-08-28,04:00:00,817.15,817.7,817.1,817.7,14,0
2021-08-30,08:00:00,816.0,816.0,815.0,817.95,101,0
2021-08-30,09:00:00,815.45,814.35,812.85,817.4,430,0
2021-08-30,10:00:00,814.15,816.25,813.6,817.3,156,0
2021-08-30,11:00:00,815.9,815.95,814.8,816.55,73,-1
2021-08-30,12:00:00,815.5,815.9,814.55,816.7,67,0
2021-08-30,13:00:00,816.0,819.85,816.0,820.4,344,0
2021-08-30,15:00:00,817.55,818.4,817.35,818.4,6,-1
2021-08-30,16:00:00,819.4,819.55,819.4,819.55,3,0
2021-08-30,17:00:00,819.5,819.9,819.5,820.45,6,0
2021-08-30,18:00:00,819.95,820.05,819.25,820.05,5,0
2021-08-30,19:00:00,819.85,819.65,819.65,819.85,2,0
2021-08-30,20:00:00,820.65,819.7,819.7,820.9,5,0
2021-08-30,21:00:00,819.75,818.5,818.4,819.75,15,-1
2021-08-30,22:00:00,819.0,819.9,818.75,819.9,13,-1
2021-08-30,23:00:00,819.3,819.0,819.0,819.8,7,0
2021-08-31,00:00:00,819.1,818.8,817.75,819.1,20,-1
2021-08-31,01:00:00,818.95,819.5,818.85,819.5,20,0
2021-08-31,02:00:00,819.45,819.85,819.45,819.85,12,0
2021-08-31,03:00:00,818.9,817.25,817.25,818.9,16,-1
2021-08-31,04:00:00,817.4,816.85,816.65,817.45,36,-1
2021-08-31,05:00:00,817.1,816.65,816.65,817.1,3,-1
2021-08-31,08:00:00,816.75,817.1,816.2,817.1,58,-1
2021-08-31,09:00:00,817.1,812.9,811.7,817.9,387,0
2021-08-31,10:00:00,813.0,812.7,808.65,813.25,405,-1
2021-08-31,11:00:00,812.75,816.9,811.75,818.45,237,0
2021-08-31,12:00:00,816.9,820.05,815.5,820.1,220,0
2021-08-31,13:00:00,820.0,827.4,819.85,827.8,689,0
2021-08-31,15:00:00,827.5,827.5,827.15,828.3,44,0
2021-08-31,16:00:00,827.5,826.9,826.65,827.5,13,0
2021-08-31,17:00:00,826.75,826.8,826.6,827.15,19,0
2021-08-31,18:00:00,827.0,825.25,825.0,827.5,39,0
2021-08-31,19:00:00,825.2,825.0,825.0,826.0,28,-1
2021-08-31,20:00:00,824.55,824.35,823.45,824.95,20,-1
2021-08-31,21:00:00,825.0,823.35,823.3,825.6,36,0
2021-08-31,22:00:00,823.1,822.25,822.25,824.0,49,0
2021-08-31,23:00:00,822.4,824.05,822.25,824.05,17,0
2021-09-01,00:00:00,823.45,823.9,823.05,823.9,5,0
2021-09-01,01:00:00,823.95,824.45,823.95,824.45,3,0
2021-09-01,02:00:00,823.5,823.5,823.5,823.5,2,-1
2021-09-01,03:00:00,823.3,823.75,823.3,824.1,5,0
2021-09-01,04:00:00,823.3,823.55,823.3,823.55,2,-1
2021-09-01,08:00:00,825.1,824.0,822.75,825.35,88,0
2021-09-01,09:00:00,823.65,827.5,823.2,828.7,458,0
2021-09-01,10:00:00,827.5,829.7,827.5,830.25,414,0
2021-09-01,11:00:00,829.95,830.0,828.8,830.9,240,0
2021-09-01,12:00:00,830.1,831.9,829.45,833.5,286,0
2021-09-01,13:00:00,832.25,833.55,831.3,834.15,301,0
2021-09-01,15:00:00,833.5,833.7,833.4,834.1,14,0
2021-09-01,16:00:00,833.4,832.5,832.5,833.8,21,0
2021-09-01,17:00:00,832.0,832.1,831.8,832.1,16,-1
2021-09-01,18:00:00,831.85,833.05,831.75,833.4,15,0
2021-09-01,19:00:00,832.95,833.6,832.95,833.6,4,0
2021-09-01,20:00:00,833.9,833.95,833.45,833.95,11,0
2021-09-01,21:00:00,833.85,833.0,832.95,834.05,29,0
2021-09-01,22:00:00,833.1,835.1,833.1,835.1,49,0
2021-09-01,23:00:00,835.35,835.15,834.75,835.8,23,0
2021-09-02,00:00:00,835.8,836.75,835.8,836.85,18,0
2021-09-02,01:00:00,836.6,836.55,836.45,836.7,18,0
2021-09-02,02:00:00,836.65,835.95,835.85,836.65,8,0
2021-09-02,03:00:00,836.5,835.4,834.35,836.5,69,0
2021-09-02,04:00:00,835.25,834.65,834.65,835.45,8,-1
2021-09-02,08:00:00,832.45,832.9,832.15,833.8,85,-1
2021-09-02,09:00:00,832.65,835.35,831.75,837.35,497,0
2021-09-02,10:00:00,835.25,828.5,828.3,836.5,352,0
2021-09-02,11:00:00,828.35,829.1,825.75,830.9,283,-1
2021-09-02,12:00:00,829.0,826.95,825.9,829.8,164,-1
2021-09-02,13:00:00,827.15,826.75,824.8,827.5,393,-1
2021-09-02,15:00:00,828.5,830.75,828.2,830.75,35,0
2021-09-02,16:00:00,831.15,830.95,830.1,831.35,57,0
2021-09-02,17:00:00,831.0,830.6,830.55,831.0,15,0
2021-09-02,18:00:00,830.5,830.45,830.45,830.5,5,0
2021-09-02,19:00:00,830.7,830.45,830.3,830.7,12,0
2021-09-02,20:00:00,830.45,831.8,830.45,832.15,28,0
2021-09-02,21:00:00,831.95,830.7,830.7,832.75,38,0
2021-09-02,22:00:00,830.7,832.1,830.3,832.3,20,0
2021-09-02,23:00:00,832.1,831.7,831.7,832.4,23,0
2021-09-03,00:00:00,832.0,831.0,831.0,832.2,17,0
2021-09-03,01:00:00,831.45,830.05,829.65,831.45,31,-1
2021-09-03,02:00:00,830.05,830.75,829.65,830.75,11,-1
2021-09-03,03:00:00,830.5,831.1,830.35,831.1,8,0
2021-09-03,04:00:00,831.0,831.0,831.0,831.45,17,0
2021-09-03,08:00:00,829.75,832.25,829.75,833.0,50,0
2021-09-03,09:00:00,832.15,832.6,829.3,832.9,292,0
2021-09-03,10:00:00,832.5,837.7,832.3,838.65,636,0
2021-09-03,11:00:00,838.0,836.75,835.0,838.0,231,0
2021-09-03,12:00:00,836.8,837.95,836.25,838.95,262,0
2021-09-03,13:00:00,838.1,837.55,837.0,838.9,254,0
2021-09-03,15:00:00,836.0,835.75,834.25,836.05,90,-1
2021-09-03,16:00:00,835.65,836.5,835.65,836.65,12,0
2021-09-03,17:00:00,836.4,836.55,835.9,836.65,13,0
2021-09-03,18:00:00,836.5,837.7,836.5,837.75,27,0
2021-09-03,19:00:00,837.75,837.35,837.35,838.2,18,0
2021-09-03,20:00:00,837.45,837.0,836.15,838.65,38,0
2021-09-03,21:00:00,836.75,837.4,835.0,837.65,90,0
2021-09-03,22:00:00,837.95,838.0,837.45,838.3,24,0
2021-09-03,23:00:00,838.0,838.65,837.8,838.95,22,0
2021-09-04,00:00:00,838.2,838.15,838.1,838.6,11,0
2021-09-04,01:00:00,838.65,838.85,838.65,839.2,15,0
2021-09-04,02:00:00,838.6,838.35,838.25,838.7,10,0
2021-09-04,03:00:00,838.35,838.6,838.3,839.1,13,0
2021-09-04,04:00:00,838.3,837.2,837.1,838.3,23,-1
2021-09-06,08:00:00,836.3,839.4,835.6,839.4,127,0
2021-09-06,09:00:00,839.3,839.8,836.75,841.9,572,0
2021-09-06,10:00:00,839.7,841.05,839.7,844.35,345,0
2021-09-06,11:00:00,841.3,845.3,841.15,846.35,286,0
2021-09-06,12:00:00,845.3,840.3,838.35,847.35,365,0
2021-09-06,13:00:00,840.0,842.7,838.5,842.7,332,-1
2021-09-06,15:00:00,843.25,844.15,843.2,844.55,31,0
2021-09-06,16:00:00,844.05,845.1,844.05,845.15,18,0
2021-09-06,17:00:00,845.25,845.25,845.25,845.45,17,0
2021-09-06,18:00:00,845.35,845.3,845.3,845.55,12,0
2021-09-06,19:00:00,845.05,844.35,844.35,845.35,30,0
2021-09-06,20:00:00,844.35,843.8,843.8,844.5,39,-1
2021-09-06,21:00:00,843.7,845.15,843.7,845.15,4,0
2021-09-06,22:00:00,845.35,845.45,845.35,845.9,28,0
2021-09-06,23:00:00,845.0,844.85,844.85,845.0,2,-1
2021-09-07,00:00:00,844.55,844.8,844.5,844.8,5,-1
2021-09-07,03:00:00,844.3,844.0,842.0,844.3,31,0
2021-09-07,04:00:00,842.6,842.6,842.6,842.6,2,-1
2021-09-07,08:00:00,842.65,841.9,841.65,843.5,81,0
2021-09-07,09:00:00,841.65,829.45,828.55,843.05,899,0
2021-09-07,10:00:00,829.4,834.4,829.0,835.9,315,-1
2021-09-07,11:00:00,834.5,830.8,830.1,834.75,133,-1
2021-09-07,12:00:00,831.05,831.55,830.1,832.7,177,-1
2021-09-07,13:00:00,831.7,833.85,831.3,835.45,373,0
2021-09-07,15:00:00,833.85,832.55,830.8,833.85,97,0
2021-09-07,16:00:00,832.5,831.45,831.05,832.55,26,-1
2021-09-07,17:00:00,831.35,830.3,830.0,831.35,34,-1
2021-09-07,18:00:00,830.4,830.75,830.4,830.75,7,-1
2021-09-07,19:00:00,831.0,832.0,831.0,832.0,25,0
2021-09-07,20:00:00,831.5,831.1,831.1,831.75,8,0
2021-09-07,21:00:00,831.0,831.45,830.9,831.95,19,0
2021-09-07,22:00:00,831.6,832.15,829.1,832.55,68,0
2021-09-07,23:00:00,832.3,831.9,830.7,832.3,15,0
2021-09-08,00:00:00,831.95,831.9,831.5,831.95,5,-1
2021-09-08,01:00:00,832.5,834.0,832.5,834.0,26,0
2021-09-08,02:00:00,833.6,833.6,833.6,833.6,1,0
2021-09-08,03:00:00,833.5,833.6,833.5,833.95,3,0
2021-09-08,04:00:00,833.45,833.3,833.0,833.45,5,0
2021-09-08,05:00:00,832.8,832.8,832.8,832.8,2,-1
2021-09-08,08:00:00,830.6,832.5,830.6,833.25,128,0
2021-09-08,09:00:00,832.5,829.3,824.5,833.0,589,0
2021-09-08,10:00:00,830.0,826.05,824.05,830.4,279,-1
2021-09-08,11:00:00,826.05,820.3,818.5,826.3,388,-1
2021-09-08,12:00:00,820.5,818.9,818.0,822.2,181,-1
2021-09-08,13:00:00,818.6,823.25,817.5,823.65,317,0
2021-09-08,15:00:00,822.35,817.1,816.0,824.0,137,0
2021-09-08,16:00:00,816.95,815.9,814.75,817.4,25,-1
2021-09-08,17:00:00,816.05,820.3,816.05,820.3,75,0
2021-09-08,18:00:00,820.3,822.15,820.3,822.15,34,0
2021-09-08,19:00:00,821.7,822.7,821.45,824.55,61,0
2021-09-08,20:00:00,822.05,822.75,821.25,822.75,20,0
2021-09-08,21:00:00,823.0,821.25,820.4,823.45,54,0
2021-09-08,22:00:00,821.15,816.1,815.9,821.15,57,-1
2021-09-08,23:00:00,817.0,816.1,816.0,818.5,34,-1
2021-09-09,00:00:00,816.95,818.65,816.95,819.5,16,0
2021-09-09,01:00:00,818.55,817.35,817.35,818.55,2,0
2021-09-09,02:00:00,817.75,817.65,817.5,817.9,5,0
2021-09-09,03:00:00,818.5,817.7,817.7,818.5,4,0
2021-09-09,04:00:00,817.7,817.15,817.15,818.0,3,-1
2021-09-09,05:00:00,816.95,816.95,816.95,816.95,1,-1
2021-09-09,08:00:00,815.0,815.0,814.35,817.9,97,0
2021-09-09,09:00:00,814.95,820.25,813.35,821.45,593,0
2021-09-09,10:00:00,820.25,823.0,819.6,826.0,341,0
2021-09-09,11:00:00,822.75,822.75,821.0,824.5,160,0
2021-09-09,12:00:00,822.5,820.35,818.9,822.6,175,0
2021-09-09,13:00:00,820.25,822.1,819.85,823.5,272,0
2021-09-09,15:00:00,823.0,823.2,823.0,824.2,49,0
2022-02-23,15:00:00,858.0,858.25,857.35,858.3,9,0
2022-02-23,16:00:00,858.3,859.6,857.7,859.7,24,0
2022-02-23,17:00:00,859.5,860.05,859.5,860.8,32,0
2022-02-23,18:00:00,859.6,859.2,858.7,859.6,24,0
2022-02-23,19:00:00,859.1,857.3,857.3,859.45,27,0
2022-02-23,20:00:00,857.55,859.3,857.5,859.4,21,0
2022-02-23,21:00:00,859.15,859.3,858.35,859.65,18,0
2022-02-23,22:00:00,859.15,858.0,857.9,860.6,67,0
2022-02-23,23:00:00,857.9,856.1,854.65,857.9,99,-1
2022-02-24,00:00:00,856.3,856.85,853.6,856.85,33,-1
2022-02-24,15:00:00,827.55,824.05,821.0,830.15,104,-1
2022-02-24,16:00:00,823.7,823.7,822.5,825.0,31,-1
2022-02-24,15:00:00,827.55,824.05,821.0,830.15,104,0
2022-02-24,16:00:00,823.7,823.7,822.5,825.0,31,0
